[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
2641.6774193548;57700;572.21428571429;36962.21875;52482.142857143;51719.285714286;267319.73799127;44509.868995633;114515.88477366;210655.57773896;256579.68970381;175171.55333749;0;1426864;5956.9285714286;56092.357142857;85.329113924051;171096
2809.2258064516;53358.571428571;547.5;33963.15625;51365.714285714;58323.571428571;310756.94323144;48165.327510917;110097.11934156;204287.12253556;315444.00564175;177142.85714286;0;1386848.6666667;5979.7857142857;52322.642857143;85.810126582278;166288
2808.5806451613;45794.285714286;485.71428571429;28791.53125;49041.785714286;64358.571428571;371486.72489083;52613.755458515;102322.96296296;190788.71974045;401613.54019746;175695.57080474;0;1267286.3333333;5914.5714285714;47574.571428571;81.215189873418;151950
2780.3870967742;41015.714285714;448.35714285714;26206.84375;45921.428571429;62706.428571429;353722.3580786;49864.279475983;96725.308641975;179261.16795608;381747.53173484;165898.31565814;0;1201054.6666667;5596.2142857143;44376.142857143;77.949367088608;143998
2763.6451612903;40122.857142857;440;25674.875;45451.071428571;62157.142857143;352361.9650655;49500.829694323;95510.534979424;177195.25829798;380533.14527504;164120.3992514;0;1179902;5555.7857142857;43593.285714286;76.886075949367;141462
2799.7096774194;39348.571428571;437.78571428571;25009.6875;45516.428571429;62819.285714286;363556.63755459;50433.187772926;94653.086419753;176292.81257799;395580.53596615;164451.02932002;0;1157003;5606.4285714286;43266.928571429;76.367088607595;138720
2831.5806451613;40425.714285714;454.21428571429;25470.5625;45816.428571429;63026.428571429;365186.20087336;50730.262008734;94771.481481481;178036.78562516;396827.64456982;165327.51091703;0;1165504.6666667;5647.0714285714;43880.428571429;77.632911392405;139745
2824.8709677419;38432.857142857;436.14285714286;24158.375;45136.785714286;63622.857142857;374832.53275109;51263.318777293;92608.024691358;174023.23433991;411258.674189;163858.39051778;0;1128217.6666667;5610.6428571429;42390.928571429;75.848101265823;135273
2734.5483870968;38135;435.64285714286;24141.59375;43292.5;61543.571428571;349902.88209607;48526.72489083;90123.086419753;169794.68430247;379827.08039492;157922.64504055;0;1126648;5358.2857142857;41800.928571429;75.607594936709;135083
1018.0322580645;30287.785714286;1112.3571428571;21804.6875;33241.428571429;34680;348412.57641921;65807.161572052;47949.711934156;109643.74844023;350083.49788434;123958.20336868;0;913983.33333333;7675;35718.214285714;78.367088607595;102262
965.29032258065;30307.5;1074.6428571429;22345.53125;33958.571428571;36772.142857143;360428.99563319;67659.825327511;50126.172839506;112357.92363364;365194.07616361;127205.24017467;0;946923.33333333;7776.9285714286;35700.857142857;76.088607594937;105801
