po4 no3 no2 o2 sio2 tn na k mg ca so4 cl co3 hco3 nh4 chl_a br toc alk
1.318947368421052488e+03 1.849274193548387120e+04 2.849999999999999432e+02 5.126500000000000000e+04 3.155833333333333576e+04 1.090485714285714348e+05 5.014176855895196786e+05 7.519890829694323475e+04 1.543719341563786147e+05 2.993045170950836036e+05 8.879583333333332848e+04 5.227260930888575385e+05 0.000000000000000000e+00 4.634577049180327449e+05 6.192888888888888687e+03 8.446278571428571013e+04 1.533544303797468444e+02 4.909000000000000000e+04 2.824870000000000000e+05
1.365694736842105158e+03 1.835887096774193196e+04 2.836739130434782510e+02 5.098868750000000000e+04 3.239699999999999636e+04 1.130207142857142608e+05 5.314449344978167210e+05 7.847528384279477177e+04 1.576293415637859725e+05 3.041786872972298297e+05 9.124999999999998545e+04 5.598741889985896414e+05 0.000000000000000000e+00 4.673396721311475267e+05 6.403166666666666060e+03 8.514078571428571013e+04 1.549367088607594951e+02 5.225833333333334303e+04 2.848480000000000000e+05
9.209263157894736196e+02 1.706725806451612516e+04 2.270869565217391255e+02 4.699300000000000000e+04 3.000600000000000000e+04 1.035114285714285652e+05 5.381441921397380065e+05 7.644445414847163192e+04 1.463158436213991663e+05 2.734534314948839601e+05 8.604479166666665697e+04 5.955500705218616640e+05 0.000000000000000000e+00 4.227124590163934045e+05 5.733166666666666060e+03 7.765371428571428987e+04 1.281392405063291164e+02 5.254166666666667152e+04 2.576500000000000000e+05
9.227315789473683481e+02 1.724580645161290158e+04 2.280652173913043157e+02 4.732304687500000000e+04 3.030900000000000000e+04 1.021735714285714203e+05 5.361094104803493246e+05 7.637434497816594376e+04 1.469115226337448403e+05 2.741659221362615353e+05 8.614270833333334303e+04 5.932919605077573797e+05 0.000000000000000000e+00 4.208436065573770320e+05 5.775361111111110404e+03 7.781257142857143481e+04 1.270696202531645582e+02 5.248500000000000000e+04 2.565135000000000000e+05
1.017173684210526289e+03 1.748483870967741677e+04 2.401739130434782510e+02 4.785398437500000000e+04 3.081383333333333212e+04 1.045328571428571304e+05 5.424079257641921286e+05 7.745334061135372031e+04 1.484213991769547283e+05 2.799028075867232401e+05 8.730729166666667152e+04 5.964798307475316105e+05 0.000000000000000000e+00 4.272596721311474685e+05 5.932527777777777374e+03 7.907850000000000000e+04 1.322974683544304071e+02 5.317999999999999272e+04 2.604275000000000000e+05
1.056747368421052670e+03 1.754725806451612880e+04 2.400217391304347530e+02 4.775843750000000000e+04 3.192733333333333212e+04 1.089750000000000000e+05 5.841398689956333255e+05 8.195170305676857242e+04 1.516201234567901120e+05 2.855443973047167528e+05 9.043958333333332848e+04 6.497686882933708839e+05 0.000000000000000000e+00 4.298196721311474685e+05 6.194388888888887777e+03 7.966650000000000000e+04 1.333670886075949511e+02 5.748166666666666424e+04 2.619880000000000000e+05
1.074021052631578868e+03 1.733306451612903038e+04 2.433695652173912833e+02 4.755687500000000000e+04 3.097216666666666788e+04 1.056335714285714057e+05 5.448495633187772473e+05 7.777729257641921868e+04 1.489152263374485483e+05 2.817658847017718945e+05 8.758125000000000000e+04 5.968121297602256527e+05 0.000000000000000000e+00 4.279104918032786809e+05 6.011722222222222626e+03 7.922385714285714494e+04 1.344050632911392427e+02 5.352833333333332848e+04 2.608230000000000000e+05
1.074400000000000091e+03 1.755032258064515918e+04 2.462391304347825951e+02 4.800671875000000000e+04 3.111800000000000364e+04 1.056250000000000000e+05 5.456755895196505589e+05 7.799165938864627969e+04 1.492171193415637536e+05 2.830768155727476696e+05 8.787500000000000000e+04 5.975757404795486946e+05 0.000000000000000000e+00 4.294377049180327449e+05 6.032555555555554747e+03 7.957878571428572468e+04 1.349620253164557084e+02 5.356833333333332848e+04 2.617570000000000000e+05
1.026231578947368462e+03 1.723677419354838639e+04 2.396956521739130039e+02 4.741081250000000000e+04 3.020466666666666788e+04 1.024471428571428405e+05 5.206101310043668491e+05 7.502026200873362541e+04 1.461532921810699627e+05 2.766503119540803600e+05 8.547604166666667152e+04 5.672265162200283958e+05 0.000000000000000000e+00 4.233724590163934045e+05 5.822888888888888687e+03 7.780535714285714494e+04 1.320886075949367182e+02 5.095750000000000728e+04 2.580560000000000000e+05
1.003610526315789457e+03 1.741741935483870839e+04 2.462826086956521294e+02 4.853162500000000000e+04 2.942933333333333576e+04 9.605499999999998545e+04 4.625814410480349325e+05 6.919960698689956916e+04 1.460151440329217876e+05 2.761867232343399082e+05 8.226666666666665697e+04 4.888961918194639729e+05 0.000000000000000000e+00 4.255777049180327449e+05 5.624888888888888687e+03 8.037835714285715949e+04 1.329367088607594951e+02 4.521750000000000000e+04 2.594070000000000000e+05
8.214000000000000909e+02 1.595064516129032017e+04 2.209565217391304088e+02 4.470746875000000000e+04 2.544900000000000000e+04 8.337714285714285506e+04 3.792418340611353633e+05 5.846061135371179262e+04 1.290309465020576172e+05 2.447776890441727010e+05 7.186458333333332848e+04 3.930727785613539745e+05 0.000000000000000000e+00 3.876449180327868671e+05 4.772888888888888687e+03 7.144328571428571013e+04 1.192658227848101404e+02 3.649583333333333576e+04 2.362820000000000000e+05
7.870842105263158146e+02 1.606419354838709660e+04 2.215434782608695343e+02 4.536481250000000000e+04 2.495100000000000000e+04 8.088214285714286962e+04 3.523462445414846879e+05 5.575768558951964951e+04 1.286950617283950560e+05 2.438374844022959878e+05 7.046458333333334303e+04 3.575698166431593709e+05 0.000000000000000000e+00 3.906504918032786809e+05 4.633000000000000000e+03 7.191764285714286962e+04 1.193924050632911644e+02 3.366750000000000000e+04 2.381130000000000000e+05
8.083263157894737105e+02 1.640516129032257959e+04 2.268913043478260647e+02 4.636762500000000000e+04 2.540500000000000000e+04 8.257642857142856519e+04 3.561162445414847462e+05 5.661393013100436656e+04 1.315481069958847656e+05 2.486390816071873996e+05 7.181041666666667152e+04 3.605918194640338188e+05 0.000000000000000000e+00 4.004124590163934045e+05 4.709500000000000000e+03 7.374314285714284051e+04 1.222658227848101262e+02 3.406500000000000000e+04 2.440610000000000000e+05
9.123157894736841627e+02 1.717338709677419320e+04 2.354565217391304373e+02 4.767118750000000000e+04 2.842616666666667152e+04 9.485214285714284051e+04 4.574849344978166628e+05 6.808825327510917850e+04 1.413546913580246619e+05 2.670096830546543351e+05 8.060208333333332848e+04 4.886253878702397342e+05 0.000000000000000000e+00 4.184124590163934045e+05 5.375277777777777374e+03 7.702150000000000000e+04 1.284050632911392711e+02 4.436833333333332848e+04 2.550340000000000000e+05
9.841894736842104976e+02 1.714500000000000000e+04 2.333913043478260647e+02 4.710400000000000000e+04 3.022800000000000364e+04 1.050899999999999854e+05 5.416807860262008617e+05 7.703406113537117199e+04 1.465232510288065823e+05 2.757962815073620877e+05 8.660937500000000000e+04 5.974530324400563259e+05 0.000000000000000000e+00 4.255524590163934045e+05 5.813611111111111313e+03 7.749428571428572468e+04 1.310759493670886116e+02 5.291500000000000000e+04 2.593800000000000000e+05
1.075668421052631629e+03 1.730870967741935237e+04 2.422608695652173765e+02 4.769882812500000000e+04 3.086183333333333576e+04 1.079342857142856956e+05 5.480827292576418258e+05 7.823473799126638914e+04 1.494590534979423683e+05 2.822986149238831713e+05 8.819687500000000000e+04 6.006462623413257534e+05 0.000000000000000000e+00 4.348344262295081280e+05 5.982583333333333940e+03 7.883071428571428987e+04 1.361582278481012906e+02 5.367666666666666424e+04 2.650335000000000000e+05
1.134126315789473665e+03 1.723338709677418956e+04 2.384347826086955990e+02 4.687887500000000000e+04 3.259933333333333576e+04 1.166328571428571304e+05 6.299550218340612482e+05 8.676419213973799197e+04 1.534440329218106635e+05 2.894903169453456649e+05 9.361666666666667152e+04 7.071985895627643913e+05 0.000000000000000000e+00 4.360816393442622502e+05 6.408833333333333030e+03 7.848221428571428987e+04 1.369873417721519218e+02 6.199583333333332848e+04 2.657920000000000000e+05
3.726421052631579300e+02 1.351343548387096780e+04 5.380434782608696196e+02 4.619878125000000000e+04 2.699150000000000000e+04 5.966142857142857974e+04 7.976472925764194224e+05 1.332573362445415114e+05 9.048790123456789297e+04 2.035530321936611144e+05 8.545312500000001455e+04 7.846702397743299371e+05 0.000000000000000000e+00 3.248400000000000000e+05 1.116772222222222445e+04 7.125514285714285506e+04 1.270506329113923982e+02 8.632833333333334303e+04 1.818640000000000000e+05
